primary_track,program_duration_days,placed,employment_status,highest_level_of_education,biggest_challenge_in_search,work_authorization_status,number_of_interviews,number_of_applications,professional_experience_num
SWE,54.0,1,Employed,Bachelor's Degree,Interview skills,Other,2.0,15,3.5
SWE,112.0,0,Employed,Master's Degree,Interview skills,Citizen,1.0,50,3.5
SWE,263.0,1,Employed,Bachelor's Degree,CV issue,Citizen,0.0,9,1.5
SWE,306.0,0,Unemployed,Bachelor's Degree,CV issue,Other,1.0,8,1.5
SWE,166.0,1,Unemployed,Master's Degree,Career clarity,Other,0.0,0,0.5
Data,272.0,0,Employed,Bachelor's Degree,Tech issue,Citizen,6.0,8,5.0
SWE,277.0,1,Unemployed,Master's Degree,CV issue,Green Card,1.0,50,1.5
SWE,81.0,1,Employed,Bachelor's Degree,Interview skills,Citizen,2.0,15,1.5
SWE,174.0,1,Employed,Bachelor's Degree,Tech issue,Citizen,1.0,70,5.0
SWE,94.0,1,Student,Master's Degree,Tech issue,Green Card,0.0,50,0.5
Design,129.0,0,Student,Bachelor's Degree,CV issue,Citizen,0.0,10,1.5
SWE,0.0,0,Unemployed,Master's Degree,Interview skills,Other,0.0,70,0.5
SWE,163.0,1,Student,Bachelor's Degree,Interview skills,Other,0.0,15,0.5
SWE,112.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,4.0,60,0.5
SWE,59.0,1,Employed,Doctorate or Professional Degree,CV issue,Citizen,20.0,0,1.5
SWE,83.0,1,Employed,GED or equivalent,Career clarity,Other,0.0,20,3.5
SWE,227.0,1,Unemployed,Bachelor's Degree,CV issue,Other,2.0,3,0.5
SWE,276.0,0,Employed,Bachelor's Degree,Interview skills,Citizen,0.0,20,0.5
SWE,86.0,1,Unemployed,Bachelor's Degree,CV issue,Citizen,0.0,10,5.0
SWE,24.0,1,Employed,Bachelor's Degree,Interview skills,Green Card,1.0,30,0.5
SWE,138.0,1,Unemployed,Bachelor's Degree,Career clarity,Citizen,0.0,10,5.0
SWE,94.0,1,Employed,Master's Degree,CV issue,Other,1.0,160,0.5
SWE,225.0,0,Employed,Master's Degree,Interview skills,Citizen,1.0,35,1.5
Design,286.0,0,Student,Master's Degree,Interview skills,Green Card,5.0,4,0.5
SWE,112.0,0,Student,Master's Degree,Interview skills,Citizen,5.0,10,1.5
PSO,76.0,1,Unemployed,Master's Degree,Career clarity,Citizen,0.0,25,5.0
PSO,112.0,0,Unemployed,"Some College, No Degree",Interview skills,Other,1.0,6,3.5
SWE,112.0,0,Employed,"Some College, No Degree",CV issue,Citizen,0.0,60,0.5
Data,87.0,0,Student,Bachelor's Degree,CV issue,Other,3.0,15,0.5
SWE,174.0,1,Unemployed,Bachelor's Degree,Interview skills,Citizen,6.0,15,3.5
SWE,298.0,1,Unemployed,"Some College, No Degree",Tech issue,Green Card,4.0,15,1.5
SWE,143.0,1,Employed,Bachelor's Degree,Interview skills,Green Card,0.0,40,3.5
SWE,177.0,1,Unemployed,Bachelor's Degree,CV issue,Other,0.0,20,0.5
SWE,293.0,1,Student,Doctorate or Professional Degree,CV issue,Other,4.0,70,1.5
SWE,142.0,1,Employed,Master's Degree,CV issue,Other,0.0,4,0.5
SWE,112.0,0,Unemployed,Bachelor's Degree,Tech issue,Citizen,0.0,40,5.0
SWE,106.0,1,Employed,Bachelor's Degree,Career clarity,Green Card,2.0,4,1.5
SWE,112.0,0,Student,Bachelor's Degree,CV issue,Green Card,0.0,15,0.5
Design,300.0,0,Unemployed,Bachelor's Degree,Interview skills,Other,0.0,25,0.5
SWE,37.0,1,Student,Master's Degree,CV issue,Other,1.0,20,5.0
Design,300.0,0,Student,Bachelor's Degree,Career clarity,Other,1.0,20,1.5
Design,122.0,1,Employed,Bachelor's Degree,Tech issue,Other,1.0,50,5.0
Data,207.0,1,Unemployed,Doctorate or Professional Degree,CV issue,Other,5.0,60,1.5
Design,110.0,0,Unemployed,Bachelor's Degree,CV issue,Other,1.0,60,1.5
SWE,112.0,0,Employed,Master's Degree,CV issue,Other,0.0,8,1.5
Data,261.0,0,Unemployed,Bachelor's Degree,Career clarity,Other,0.0,5,3.5
SWE,9.0,1,Employed,Master's Degree,Tech issue,Green Card,0.0,15,0.5
SWE,107.0,1,Contractor,Bachelor's Degree,CV issue,Other,0.0,5,3.5
Data,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,0.0,1,0.5
SWE,86.0,1,Student,Bachelor's Degree,Interview skills,Citizen,5.0,3,3.5
Design,272.0,1,Employed,Master's Degree,CV issue,Other,2.0,90,0.5
SWE,141.0,0,Employed,Bachelor's Degree,Interview skills,Citizen,2.0,190,3.5
SWE,222.0,0,Employed,Doctorate or Professional Degree,CV issue,Citizen,2.0,40,3.5
SWE,101.0,1,Employed,Bachelor's Degree,CV issue,Other,4.0,50,3.5
SWE,112.0,0,Student,Bachelor's Degree,CV issue,Green Card,2.0,2,3.5
SWE,86.0,1,Employed,Bachelor's Degree,Career clarity,Other,0.0,25,5.0
Data,142.0,1,Contractor,Bachelor's Degree,CV issue,Citizen,2.0,30,1.5
PSO,249.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,1.0,100,3.5
SWE,9.0,1,Unemployed,Bachelor's Degree,Tech issue,Green Card,0.0,4,0.5
SWE,112.0,0,Employed,Bachelor's Degree,Career clarity,Citizen,0.0,40,1.5
Design,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,3.0,3,0.5
SWE,112.0,0,Student,Bachelor's Degree,Career clarity,Other,5.0,35,1.5
SWE,73.0,1,Unemployed,Bachelor's Degree,CV issue,Other,0.0,10,0.5
Design,226.0,1,Unemployed,Master's Degree,Tech issue,Citizen,1.0,25,3.5
SWE,208.0,1,Student,Master's Degree,Interview skills,Citizen,6.0,60,1.5
SWE,156.0,1,Employed,Master's Degree,CV issue,Other,3.0,10,3.5
SWE,159.0,1,Employed,Doctorate or Professional Degree,Interview skills,Other,0.0,50,0.5
PSO,112.0,0,Student,Master's Degree,Interview skills,Other,3.0,15,3.5
SWE,112.0,0,Employed,Master's Degree,CV issue,Citizen,0.0,5,1.5
SWE,122.0,1,Contractor,Master's Degree,CV issue,Other,1.0,15,0.5
Design,14.0,0,Unemployed,Bachelor's Degree,Career clarity,Other,0.0,3,0.5
PSO,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,8.0,350,0.5
Data,112.0,0,Employed,Master's Degree,Interview skills,Other,0.0,15,1.5
SWE,0.0,0,Student,"Some College, No Degree",Tech issue,Other,5.0,6,3.5
SWE,18.0,0,Student,Master's Degree,CV issue,Citizen,1.0,20,3.5
PSO,41.0,0,Employed,Bachelor's Degree,CV issue,Green Card,2.0,200,1.5
Design,112.0,0,Student,Master's Degree,CV issue,Other,1.0,6,1.5
SWE,7.0,0,Student,Master's Degree,Interview skills,Other,0.0,15,1.5
SWE,0.0,0,Student,Bachelor's Degree,Interview skills,Citizen,5.0,10,1.5
SWE,112.0,0,Student,Bachelor's Degree,Tech issue,Citizen,0.0,10,1.5
SWE,112.0,0,Student,Master's Degree,CV issue,Other,1.0,5,1.5
Design,82.0,1,Employed,Master's Degree,CV issue,Other,2.0,30,1.5
SWE,112.0,0,Student,Bachelor's Degree,CV issue,Other,0.0,15,1.5
Data,112.0,0,Employed,Doctorate or Professional Degree,CV issue,Citizen,2.0,50,3.5
Data,0.0,0,Employed,Master's Degree,Tech issue,Other,2.0,20,1.5
SWE,59.0,1,Student,Bachelor's Degree,CV issue,Other,8.0,20,1.5
Data,137.0,1,Unemployed,"Some College, No Degree",Interview skills,Other,7.0,70,0.5
SWE,143.0,0,Employed,Bachelor's Degree,Interview skills,Citizen,1.0,10,3.5
SWE,0.0,0,Unemployed,"Some College, No Degree",CV issue,Citizen,4.0,50,1.5
SWE,28.0,1,Employed,Master's Degree,CV issue,Other,0.0,10,3.5
PSO,144.0,0,Employed,Master's Degree,Career clarity,Other,1.0,50,1.5
SWE,13.0,0,Employed,Master's Degree,CV issue,Citizen,4.0,0,0.5
PSO,112.0,0,Employed,Bachelor's Degree,Tech issue,Citizen,1.0,15,3.5
Design,14.0,0,Employed,Master's Degree,Career clarity,Citizen,3.0,50,3.5
SWE,220.0,0,Contractor,"Some College, No Degree",Career clarity,Other,0.0,70,1.5
SWE,112.0,0,Unemployed,Master's Degree,Tech issue,Other,1.0,25,0.5
Design,112.0,0,Student,Bachelor's Degree,Interview skills,Other,2.0,100,1.5
SWE,112.0,0,Employed,Master's Degree,Tech issue,Green Card,0.0,2,0.5
PSO,112.0,0,Unemployed,Doctorate or Professional Degree,Interview skills,Citizen,0.0,0,0.5
PSO,13.0,0,Employed,Master's Degree,Career clarity,Other,10.0,30,1.5
SWE,112.0,0,Unemployed,Master's Degree,Interview skills,Citizen,4.0,25,5.0
Design,112.0,0,Employed,Master's Degree,CV issue,Citizen,0.0,40,3.5
SWE,107.0,1,Student,Master's Degree,CV issue,Other,1.0,30,3.5
SWE,112.0,0,Contractor,Master's Degree,Career clarity,Citizen,0.0,2,3.5
SWE,112.0,0,Employed,Bachelor's Degree,Career clarity,Citizen,4.0,60,5.0
SWE,0.0,0,Employed,Doctorate or Professional Degree,Interview skills,Citizen,0.0,20,1.5
SWE,112.0,0,Student,Bachelor's Degree,CV issue,Other,2.0,120,1.5
SWE,112.0,0,Student,Bachelor's Degree,CV issue,Other,0.0,150,1.5
SWE,112.0,0,Student,"Some College, No Degree",Career clarity,Citizen,4.0,15,5.0
Data,112.0,0,Employed,Master's Degree,Interview skills,Green Card,0.0,25,1.5
Design,10.0,0,Contractor,Bachelor's Degree,Career clarity,Citizen,1.0,15,3.5
Design,123.0,1,Unemployed,Bachelor's Degree,CV issue,Other,1.0,100,1.5
PSO,16.0,0,Unemployed,"Some College, No Degree",Career clarity,Citizen,0.0,9,1.5
Data,14.0,0,Unemployed,Master's Degree,Career clarity,Green Card,1.0,10,1.5
